а	and,but,oh well,while
верхнелужицкий	upper sorbian
верхнемиоценовый	falunian
верхний	upper
верховный	high,paramount,sovereign,supreme
верхом	horseback
верхонка	overmitten
верхоплодный	acrocarpous
верхотура	attic,penthouse
верхушка	apex,summit,top
верчение	twirl
вершина	acme,apex,height,node,peak,summit,top,vertex
вершитель	leader
верёвка	rope,string
вес	authority,hanging,importance,influence,mass,percentage,quota,share,weight
веселить	amuse,cheer,divert,gladden
веселиться	enjoy oneself,have fun,make merry,rollick
весело	cheerfully,merrily
веселье	celebration,festivity,gaiety,glee,mirth
весельчак	jollier,merry chap,merry fellow
весенний	spring,vernal
весить	matter,scale,weigh
весло	oar,paddle,scull
веслонос	american paddlefish,mississippi paddlefish,spoonbill
веслообразный	oar-like
весна	spring,springtime
весной	in spring
весною	in spring
веснушка	ephelis,freckle,lentigo
весовой	loose,weight
весовщик	weigher
весомость	ponderability,weight
вест	west
вестерн	western
вести	chair,lead
вестибулярный	vestibular
вестминстерский	westminster,westminsterian
вестник	bulletin,herald,messenger
весы	balance,libra,scales
весь	all,every,whole
весьма	highly,quite,very
весёлый	bright,cheerful,funny,happy,jolly,lighthearted,merry
вет	vet
ветвие	branches
ветвиться	branch out,ramify
ветвление	branching
ветвь	bough,branch
ветер	wind
ветеран	veteran
ветеринар	veterinarian,veterinary
ветерок	breeze
ветивер	vetiver
ветка	branch,branch line,branchlet,line,side-line,stick,twig
ветла	white willow
вето	veto
ветр	wind
ветреничать	be flighty
ветрено	frivolously,is windy
ветрило	sail
ветровал	windfall
ветровальный	windfall
ветрогенератор	wind turbine
ветрозащита	windbreak,windshield
ветрозащитный	wind-protective,windproof
ветроломный	wind break,windbreak
ветросиловой	wind-powered
ветряк	wind turbine,windmill
ветрянка	chicken pox,varicella,waterpox,windmill
ветряной	wind
ветхозаветный	antiquated,old testament
ветчина	ham
ветшать	decay
веха	landmark,milestone
вече	moot,veche
вечер	evening,night
вечеринка	evening party,party
вечерний	evening,vesperal
вечерник	evening newspaper
вечерня	vespers
вечеря	supper
вечканов	vechkanov
вечно	always,eternally,ever,everlastingly,forever,perpetually
вечнозелёный	evergreen
вечный	ageless,eternal,everlasting,perennial,perpetual,timeless
вешалка	hanger
вешать	hang,hang up,weigh
вешний	spring,vernal
вещание	broadcast
вещать	broadcast,pontificate,prophesy
веще	fatefully
вещественнозначность	real-valuedness
вещественнозначный	real-valued
вещественный	material,substantial
вещий	prophetic
вещмешок	duffel bag,kitbag
вещь	belongings,goods,stuff,thing,things
веялка	winnower,winnowing machine
веяльщик	winnower
веяние	blowing,breathing,tendency,trend,winnowing
веять	blow,breeze,winnow
вживить	implant
вживлять	implant
вживую	live
вжимать	drive in,press in
вжиться	get used,grow accustomed
взаимно	each other,mutually,reciprocally
взаимность	mutuality,reciprocity
взаимный	mutual,reciprocal
взаимовлияние	mutual influence,reciprocal influence
взаимовыгодный	mutually advantageous,mutually beneficial
взаимовыигрышный	mutually advantageous,mutually beneficial,win-win
взаимовыручка	mutual assistance
взаимодействие	interaction,interplay
взаимодействовать	interact
взаимодействующий	interactive
взаимозамена	interchange
взаимоиндукция	mutual induction
взаимоисключающий	incompatible,mutually exclusive
взаимоисключение	mutual exclusion
взаимоистребление	reciprocal devastation
взаимообогащение	mutual enrichment
взаимоотношение	interrelation,interrelationship,relation,relationship
взаимопонимание	mutual understanding,rapport
взаимопроникновение	interpenetration,mutual penetration
взаимосвязь	correlation,interconnection,interdependence,interrelation
взалкать	hunger
взамен	instead,instead of
взбалмошный	extravagant,unbalanced
взбалтывать	shake up,stir up
взбивать	beat up,fluff up,froth
взбираться	climb
взболтать	shake up,stir up
взброс	upcast,uplift,upthrust
взбудораженный	agitated,worked-up,wrought-up
взбудоражить	excite
взбунтоваться	mutiny
взбучка	beating,hiding,reprimand,scolding,thrashing
взвесить	weigh,weigh up
взвешенный	balanced,weighted
взвешивать	scale,weigh
взвизгнуть	screech,squeal
взвинтить	excite,inflate,work up
взвинченный	inflated,overwrought
взвить	raise
взвод	notch,platoon,recess,troop
взволновать	excite,turn on
взволноваться	ripple,surge
взгляд	glance,look,opinion,view
взглянуть	look
взгромождаться	perch
взгромоздиться	struggle up
вздор	bosh,nonsense,rubbish,trash
вздох	sigh
вздохнуть	sigh,take breath
вздрагивать	quiver,shudder,start,startle,wince
вздрогнуть	quiver,shudder,start,startle,wince
вздутость	inflation
вздутый	swollen
вздыбить	lift up,rear
вздымать	raise
вздыхать	sigh
взимать	levy
взирать	gaze,look
взламывать	break,break open,burst,crack,force
взлелеять	cherish,foster
взлетать	flush,fly up,soar,take off,take wing
взлететь	flush,fly up,soar,take off,take wing
взломать	break into,hack
взломостойкий	burglar resistant,burglarproof
взломщик	burglar,housebreaker
взлёт	start
взмах	beating,flap,flapping,movement,stroke,sweep
взмахнуть	flap,strike,wave
взморник	eelgrass
взносить	bring in,put up,raise,rely
взнуздывать	bridle
взобраться	clamber,climb
взор	eye,gaze,look,regard
взорвать	blast,blow up
взрасти	grow,grow up,increase
взрослеть	become adult,mature
взрослый	adult
взрыв	blast,burst,exploding,explosion
взрыватель	fuse,fuze
взрывать	blast,blow up,plough up
взрываться	blow up,burst,explode
взрывник	blaster,explosives expert
взрывобезопасный	explosion-proof
взрывонепроницаемый	flameproof
взрывоопасность	explosibility,explosion hazard
взрывоопасный	explosive
взрывчатка	explosive
взрыть	to explode
взъедаться	jump
взъесться	fall on,go for,pitch into
взыскующе	demandingly
взыскующий	searching
взятка	bribe,graft,trick
взяткодатель	bribegiver,briber
взяток	forage,honey gathering
взяточник	bribetaker,grafter
взять	capture,take
взяться	appear,arise,seize,take
виадук	overpass,viaduct
вибратор	vibrator
вибрафон	vibes,vibraphone
вибрация	oscillation,vibrance,vibrancy,vibration
вибрион	vibrio
вибрировать	vibrate
вибрисса	vibrissa,whisker
вибробетон	vibrated concrete
вибробрус	screed rail,tamper,vibrating screed
вибровязкость	vibro-viscosity
виброграмма	vibrogram,vibrorecord
вибродолото	vibrating bit
виброигла	needle vibrator,vibrating spear,vibrating tine
виброизоляция	vibration isolation
вибромассажёр	concussor
вибромельница	vibrating mill,vibromill
вибромолот	vibrating hammer
вибропогружатель	vibration machine
вибропрочность	vibration strength
виброскоп	vibroscope
